General Ledger,,,,,,,,,
Sandbox Company_US_2,,,,,,,,,
"January 1, 2023-December 31, 2025",,,,,,,,,

,Distribution account,Transaction date,Transaction type,Num,Name,Memo/Description,Item split account full name,Amount,Balance
Checking,,,,,,,,,
,Beginning Balance,,,,,,,,"151,100.98"
,Checking,01/01/2023,Bill Payment (Check),,"Yundt, Torp and Stoltenberg",,Accounts Payable (A/P),-259.78,"150,841.20"
,Checking,01/02/2023,Bill Payment (Check),,Hahn Group,,Accounts Payable (A/P),-891.20,"149,950.00"
,Checking,01/06/2023,Expense,,,,Depreciation,-645.16,"149,304.84"
,Checking,01/06/2023,Transfer,,,,Savings,"-5,744.25","143,560.59"
,Checking,01/09/2023,Deposit,,,,Unapplied Cash Payment Income,"1,979.18","145,539.77"
,Checking,01/09/2023,Transfer,,,,Savings,"-1,441.12","144,098.65"
,Checking,01/10/2023,Deposit,,,,Billable Expense Income,657.87,"144,756.52"
,Checking,01/12/2023,Bill Payment (Check),,Fisher Group,,Accounts Payable (A/P),-604.05,"144,152.47"
,Checking,01/14/2023,Deposit,,,,Landscaping Services:Job Materials,"2,293.04","146,445.51"
,Checking,01/19/2023,Bill Payment (Check),,Bashirian and Sons,,Accounts Payable (A/P),-702.64,"145,742.87"
,Checking,01/23/2023,Bill Payment (Check),,Lubowitz LLC,,Accounts Payable (A/P),"-1,071.39","144,671.48"
,Checking,01/27/2023,Expense,,,,Utilities:Telephone,-40.40,"144,631.08"
,Checking,01/30/2023,Bill Payment (Check),,Marquardt-Erdman,,Accounts Payable (A/P),-779.76,"143,851.32"
,Checking,02/01/2023,Journal Entry,,,,,"-1,333.20","142,518.12"
,Checking,02/12/2023,Deposit,,,,Landscaping Services:Job Materials:Sprinklers and Drip Systems,"2,019.45","144,537.57"
,Checking,02/15/2023,Expense,,,,Utilities:Gas and Electric,-126.24,"144,411.33"
,Checking,02/15/2023,Deposit,,,,Landscaping Services:Job Materials:Sprinklers and Drip Systems,737.43,"145,148.76"
,Checking,02/16/2023,Transfer,,,,Savings,"-13,214.16","131,934.60"
,Checking,02/17/2023,Bill Payment (Check),,Hirthe-West,,Accounts Payable (A/P),-316.47,"131,618.13"
,Checking,02/19/2023,Expense,,,,Promotional,-287.21,"131,330.92"
,Checking,02/23/2023,Transfer,,,,Savings,"-5,089.07","126,241.85"
,Checking,02/26/2023,Bill Payment (Check),,Marquardt-Erdman,,Accounts Payable (A/P),-437.51,"125,804.34"
,Checking,02/26/2023,Deposit,,,,Pest Control Services,"5,155.13","130,959.47"
,Checking,02/27/2023,Expense,,,,Maintenance and Repair:Equipment Repairs,-224.42,"130,735.05"
,Checking,02/27/2023,Bill Payment (Check),,Blanda LLC,,Accounts Payable (A/P),"-1,543.06","129,191.99"
,Checking,03/01/2023,Expense,,,,Disposal Fees,"-2,052.83","127,139.16"
,Checking,03/01/2023,Expense,,,,Disposal Fees,-318.06,"126,821.10"
,Checking,03/03/2023,Transfer,,,,Savings,"-4,015.00","122,806.10"
,Checking,03/04/2023,Bill Payment (Check),,Marquardt-Erdman,,Accounts Payable (A/P),"-1,065.26","121,740.84"
,Checking,03/07/2023,Bill Payment (Check),,Hirthe-West,,Accounts Payable (A/P),-565.18,"121,175.66"
,Checking,03/07/2023,Deposit,,,,Design income,"2,817.54","123,993.20"
,Checking,03/12/2023,Bill Payment (Check),,"Kozey, Cruickshank and Prohaska",,Accounts Payable (A/P),"-1,171.04","122,822.16"
,Checking,03/14/2023,Expense,,,,Utilities:Gas and Electric,-58.88,"122,763.28"
,Checking,03/23/2023,Expense,,,,Job Expenses:Permits,-188.18,"122,575.10"
,Checking,03/23/2023,Bill Payment (Check),,"D'Amore, Brakus and Koch",,Accounts Payable (A/P),-440.19,"122,134.91"
,Checking,03/24/2023,Expense,,,,Maintenance and Repair:Building Repairs,-84.03,"122,050.88"
,Checking,03/24/2023,Deposit,,,,Unapplied Cash Payment Income,"9,245.96","131,296.84"
