Journal,,,,,,,,
Sandbox Company_US_2,,,,,,,,
"January 1, 2023-December 31, 2025",,,,,,,,

,Transaction date,Transaction type,Num,Name,Memo/Description,Full name,Debit,Credit
1359,,,,,,,,
,01/01/2023,Sales Receipt,1423,Welch Inc,,Undeposited Funds,35.00,
,01/01/2023,Sales Receipt,1423,Welch Inc,,Pest Control Services,,35.00
Total for 1359,,,,,,,$35.00,$35.00
1364,,,,,,,,
,01/01/2023,Sales Receipt,1428,Baumbach-Botsford,,Undeposited Funds,0.00,
,01/01/2023,Sales Receipt,1428,Baumbach-Botsford,,Services,0.00,
Total for 1364,,,,,,,$0.00,
1384,,,,,,,,
,01/01/2023,Expense,,,,Savings,,"1,579.61"
,01/01/2023,Expense,,,,Insurance:Workers Compensation,"1,579.61",
Total for 1384,,,,,,,"$1,579.61","$1,579.61"
1386,,,,,,,,
,01/01/2023,Expense,,,,Savings,,61.77
,01/01/2023,Expense,,,,Utilities,61.77,
Total for 1386,,,,,,,$61.77,$61.77
1418,,,,,,,,
,01/01/2023,Bill Payment (Check),,"Yundt, Torp and Stoltenberg",,Checking,,259.78
,01/01/2023,Bill Payment (Check),,"Yundt, Torp and Stoltenberg",,Accounts Payable (A/P),259.78,
Total for 1418,,,,,,,$259.78,$259.78
1421,,,,,,,,
,01/01/2023,Vendor Credit,,"Kozey, Cruickshank and Prohaska",,Accounts Payable (A/P),257.90,
,01/01/2023,Vendor Credit,,"Kozey, Cruickshank and Prohaska",,Job Expenses:Equipment Rental,,257.90
Total for 1421,,,,,,,$257.90,$257.90
1357,,,,,,,,
,01/02/2023,Invoice,1421,"Willms, Ratke and Little",,Accounts Receivable (A/R),955.00,
,01/02/2023,Invoice,1421,"Willms, Ratke and Little",,Design income,,675.00
,01/02/2023,Invoice,1421,"Willms, Ratke and Little",,Other Income,0.00,
,01/02/2023,Invoice,1421,"Willms, Ratke and Little",,Pest Control Services,,280.00
Total for 1357,,,,,,,$955.00,$955.00
1405,,,,,,,,
,01/02/2023,Payment,,Romaguera and Sons,,Undeposited Funds,880.54,
,01/02/2023,Payment,,Romaguera and Sons,,Accounts Receivable (A/R),,880.54
Total for 1405,,,,,,,$880.54,$880.54
1412,,,,,,,,
,01/02/2023,Bill Payment (Check),,Hahn Group,,Checking,,891.20
,01/02/2023,Bill Payment (Check),,Hahn Group,,Accounts Payable (A/P),891.20,
Total for 1412,,,,,,,$891.20,$891.20
1358,,,,,,,,
,01/03/2023,Invoice,1422,Fadel-Oberbrunner,,Accounts Receivable (A/R),50.00,
,01/03/2023,Invoice,1422,Fadel-Oberbrunner,,Landscaping Services:Labor:Installation,,50.00
Total for 1358,,,,,,,$50.00,$50.00
1406,,,,,,,,
,01/03/2023,Payment,,Bahringer Inc,,Undeposited Funds,450.00,
,01/03/2023,Payment,,Bahringer Inc,,Accounts Receivable (A/R),,450.00
Total for 1406,,,,,,,$450.00,$450.00
1354,,,,,,,,
,01/04/2023,Invoice,1418,Romaguera and Sons,,Accounts Receivable (A/R),40.00,
,01/04/2023,Invoice,1418,Romaguera and Sons,,Landscaping Services:Job Materials:Plants and Soil,,40.00
Total for 1354,,,,,,,$40.00,$40.00
1374,,,,,,,,
,01/04/2023,Bill,,"Kozey, Cruickshank and Prohaska",,Accounts Payable (A/P),,"1,171.04"
,01/04/2023,Bill,,"Kozey, Cruickshank and Prohaska",,Taxes & Licenses,"1,171.04",
Total for 1374,,,,,,,"$1,171.04","$1,171.04"
1409,,,,,,,,
,01/04/2023,Payment,,Mohr-Koch,,Undeposited Funds,960.00,
,01/04/2023,Payment,,Mohr-Koch,,Accounts Receivable (A/R),,960.00
Total for 1409,,,,,,,$960.00,$960.00
1375,,,,,,,,
,01/05/2023,Bill,,Hirthe-West,,Accounts Payable (A/P),,565.18
,01/05/2023,Bill,,Hirthe-West,,Automobile:Fuel,565.18,
Total for 1375,,,,,,,$565.18,$565.18
1396,,,,,,,,
,01/05/2023,Payment,,Kub and Sons,,Undeposited Funds,210.00,
,01/05/2023,Payment,,Kub and Sons,,Accounts Receivable (A/R),,210.00
Total for 1396,,,,,,,$210.00,$210.00
1413,,,,,,,,
,01/05/2023,Bill Payment (Check),,Reynolds Group,,Savings,,450.29
,01/05/2023,Bill Payment (Check),,Reynolds Group,,Accounts Payable (A/P),450.29,
Total for 1413,,,,,,,$450.29,$450.29
1389,,,,,,,,
,01/06/2023,Expense,,,,Checking,,645.16
,01/06/2023,Expense,,,,Depreciation,645.16,
Total for 1389,,,,,,,$645.16,$645.16
1428,,,,,,,,
,01/06/2023,Transfer,,,,Checking,,"5,744.25"
,01/06/2023,Transfer,,,,Savings,"5,744.25",
Total for 1428,,,,,,,"$5,744.25","$5,744.25"
1363,,,,,,,,
,01/07/2023,Sales Receipt,1427,Kub and Sons,,Undeposited Funds,0.00,
,01/07/2023,Sales Receipt,1427,Kub and Sons,,Other Income,0.00,
Total for 1363,,,,,,,$0.00,
1397,,,,,,,,
,01/07/2023,Payment,,Ortiz-Rogahn,,Undeposited Funds,75.00,
,01/07/2023,Payment,,Ortiz-Rogahn,,Accounts Receivable (A/R),,75.00
Total for 1397,,,,,,,$75.00,$75.00
1351,,,,,,,,
,01/08/2023,Invoice,1415,Hand LLC,,Accounts Receivable (A/R),665.00,
,01/08/2023,Invoice,1415,Hand LLC,,Landscaping Services,,350.00
,01/08/2023,Invoice,1415,Hand LLC,,Pest Control Services,,315.00
,01/08/2023,Invoice,1415,Hand LLC,,Services,0.00,
Total for 1351,,,,,,,$665.00,$665.00
1350,,,,,,,,
,01/09/2023,Invoice,1414,Bergstrom LLC,,Accounts Receivable (A/R),0.00,
,01/09/2023,Invoice,1414,Bergstrom LLC,,Other Income,0.00,
,01/09/2023,Invoice,1414,Bergstrom LLC,,Landscaping Services:Job Materials:Plants and Soil,0.00,
,01/09/2023,Invoice,1414,Bergstrom LLC,,Landscaping Services:Job Materials:Plants and Soil,0.00,
Total for 1350,,,,,,,$0.00,
1382,,,,,,,,
,01/09/2023,Bill,,Blanda LLC,,Accounts Payable (A/P),,726.87
,01/09/2023,Bill,,Blanda LLC,,Miscellaneous,726.87,
Total for 1382,,,,,,,$726.87,$726.87
1426,,,,,,,,
,01/09/2023,Deposit,,,,Checking,"1,979.18",
,01/09/2023,Deposit,,,,Unapplied Cash Payment Income,,"1,979.18"
Total for 1426,,,,,,,"$1,979.18","$1,979.18"
1429,,,,,,,,
,01/09/2023,Transfer,,,,Checking,,"1,441.12"
,01/09/2023,Transfer,,,,Savings,"1,441.12",
Total for 1429,,,,,,,"$1,441.12","$1,441.12"
1347,,,,,,,,
,01/10/2023,Invoice,1411,"Stokes, Murray and Wolff",,Accounts Receivable (A/R),0.00,
,01/10/2023,Invoice,1411,"Stokes, Murray and Wolff",,Services,0.00,
Total for 1347,,,,,,,$0.00,
1361,,,,,,,,
,01/10/2023,Sales Receipt,1425,"Langworth, Nolan and Harris",,Undeposited Funds,0.00,
,01/10/2023,Sales Receipt,1425,"Langworth, Nolan and Harris",,Landscaping Services:Job Materials:Fountains and Garden Lighting,0.00,
Total for 1361,,,,,,,$0.00,
1377,,,,,,,,
,01/10/2023,Bill,,Ortiz-Beatty,,Accounts Payable (A/P),,120.55
,01/10/2023,Bill,,Ortiz-Beatty,,Job Expenses:Permits,120.55,
Total for 1377,,,,,,,$120.55,$120.55
1424,,,,,,,,
,01/10/2023,Deposit,,,,Checking,657.87,
,01/10/2023,Deposit,,,,Billable Expense Income,,657.87
Total for 1424,,,,,,,$657.87,$657.87
1407,,,,,,,,
,01/11/2023,Payment,,"Stokes, Murray and Wolff",,Undeposited Funds,111.02,
,01/11/2023,Payment,,"Stokes, Murray and Wolff",,Accounts Receivable (A/R),,111.02
Total for 1407,,,,,,,$111.02,$111.02
1379,,,,,,,,
,01/12/2023,Bill,,Hirthe-West,,Accounts Payable (A/P),,260.28
,01/12/2023,Bill,,Hirthe-West,,Automobile,260.28,
Total for 1379,,,,,,,$260.28,$260.28
1415,,,,,,,,
,01/12/2023,Bill Payment (Check),,Fisher Group,,Checking,,604.05
,01/12/2023,Bill Payment (Check),,Fisher Group,,Accounts Payable (A/P),604.05,
Total for 1415,,,,,,,$604.05,$604.05
1365,,,,,,,,
,01/13/2023,Sales Receipt,1429,Skiles Inc,,Undeposited Funds,0.00,
,01/13/2023,Sales Receipt,1429,Skiles Inc,,Services,0.00,
Total for 1365,,,,,,,$0.00,
1410,,,,,,,,
,01/13/2023,Bill Payment (Check),,"Berge, Lueilwitz and Sanford",,Savings,,403.87
,01/13/2023,Bill Payment (Check),,"Berge, Lueilwitz and Sanford",,Accounts Payable (A/P),403.87,
Total for 1410,,,,,,,$403.87,$403.87
1362,,,,,,,,
,01/14/2023,Sales Receipt,1426,Huel-Botsford,,Undeposited Funds,0.00,
,01/14/2023,Sales Receipt,1426,Huel-Botsford,,Landscaping Services:Job Materials:Plants and Soil,0.00,
Total for 1362,,,,,,,$0.00,
1422,,,,,,,,
